"Pick","Round","Team ID","Team Name","Player ID","Last Name","First Name","Avg. Pick","Avg. Round","Avg. Cost","% Drafted"
"100","9","453.l.82957.t.2","San Jose Barra-Cuties","453.p.6184","Weegar","MacKenzie","77.2","6.9","$8.0","100%"
"101","9","453.l.82957.t.5","Micah's Majestic Team","453.p.6424","Montour","Brandon","82.2","7.4","$10.5","100%"
"102","9","453.l.82957.t.1","Bad Hab-Its","453.p.9269","Slafkovsky","Juraj","117.3","10.2","$4.5","100%"
"103","9","453.l.82957.t.9","Bardowny Woodpeckers","453.p.6798","Dunn","Vince","109.2","9.6","$4.5","100%"
"104","9","453.l.82957.t.7","Fighting Forsbergs","453.p.6751","Meier","Timo","63.1","5.8","$22.5","100%"
"105","9","453.l.82957.t.4","Bad habits","453.p.7161","Hronek","Filip","133.4","11.6","$5.0","100%"
"106","9","453.l.82957.t.12","Woonsocket Woozles","453.p.30221","Hughes","Luke","143.8","12.5","$2.0","92%"
"107","9","453.l.82957.t.11","Jim Posac Fan Club","453.p.4503","Carlson","John","103.9","9.2","$4.5","100%"
"108","9","453.l.82957.t.3","Hockey???","453.p.5329","Ekholm","Mattias","110.6","9.7","$4.5","100%"
"109","10","453.l.82957.t.3","Hockey???","453.p.4240","Kane","Patrick","109.9","9.6","$5.0","100%"
"110","10","453.l.82957.t.11","Jim Posac Fan Club","453.p.4687","Kadri","Nazem","153.9","13.3","$3.0","90%"
"111","10","453.l.82957.t.12","Woonsocket Woozles","453.p.5454","Binnington","Jordan","102.6","9.0","$6.0","100%"
"112","10","453.l.82957.t.4","Bad habits","453.p.5708","Skjei","Brady","134.2","11.7","$1.5","100%"
"113","10","453.l.82957.t.7","Fighting Forsbergs","453.p.6005","Theodore","Shea","113.3","9.9","$2.5","100%"
"114","10","453.l.82957.t.9","Bardowny Woodpeckers","453.p.5988","Horvat","Bo","147.3","12.8","$2.0","92%"
"115","10","453.l.82957.t.1","Bad Hab-Its","453.p.30548","Michkov","Matvei","137.2","11.9","$7.0","95%"
"116","10","453.l.82957.t.5","Micah's Majestic Team","453.p.5336","Kuemper","Darcy","110.5","9.7","$6.0","100%"
"117","10","453.l.82957.t.2","San Jose Barra-Cuties","453.p.5853","Ullmark","Linus","78.2","7.0","$22.0","100%"
"118","10","453.l.82957.t.8","Los Luchadores del Hielo","453.p.8314","Kochetkov","Pyotr","92.4","8.2","$7.0","100%"
"119","10","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","453.p.8644","Raymond","Lucas","96.5","8.6","$5.5","100%"
"120","10","453.l.82957.t.6","Cameron with the good fur","453.p.8280","Kakko","Kaapo","","","",""
"121","11","453.l.82957.t.6","Cameron with the good fur","453.p.7545","Tolvanen","Eeli","171.1","14.6","$0.0","9%"
"122","11","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","453.p.8645","Sanderson","Jake","125.5","11.0","$2.5","100%"
"123","11","453.l.82957.t.8","Los Luchadores del Hielo","453.p.30075","Faber","Brock","99.4","8.8","$4.0","100%"
"124","11","453.l.82957.t.2","San Jose Barra-Cuties","453.p.6764","Samsonov","Ilya","136.7","11.9","$4.5","93%"
"125","11","453.l.82957.t.5","Micah's Majestic Team","453.p.3358","Burns","Brent","115.1","10.1","$3.0","100%"
"126","11","453.l.82957.t.1","Bad Hab-Its","453.p.8642","Byfield","Quinton","153.1","13.3","$1.0","90%"
"127","11","453.l.82957.t.9","Bardowny Woodpeckers","453.p.4491","Karlsson","Erik","92.9","8.3","$4.5","100%"
"128","11","453.l.82957.t.7","Fighting Forsbergs","453.p.6750","Werenski","Zach","115.0","10.1","$3.5","100%"
"129","11","453.l.82957.t.4","Bad habits","453.p.7321","Moore","Trevor","157.0","13.6","$1.0","90%"
"130","11","453.l.82957.t.12","Woonsocket Woozles","453.p.4472","Doughty","Drew","142.9","12.4","$2.0","90%"
"131","11","453.l.82957.t.11","Jim Posac Fan Club","453.p.5983","Jones","Seth","154.3","13.4","$1.0","95%"
"132","11","453.l.82957.t.3","Hockey???","453.p.6985","Ingram","Connor","135.1","11.8","$3.0","98%"
"133","12","453.l.82957.t.3","Hockey???","453.p.5697","Hertl","Tomas","151.7","13.1","$2.0","88%"
"134","12","453.l.82957.t.11","Jim Posac Fan Club","453.p.4474","Pietrangelo","Alex","142.3","12.3","$1.5","100%"
"135","12","453.l.82957.t.12","Woonsocket Woozles","453.p.6747","Hanifin","Noah","116.2","10.2","$2.5","100%"
"136","12","453.l.82957.t.4","Bad habits","453.p.4686","Ekman-Larsson","Oliver","174.1","14.9","$0.0","22%"
"137","12","453.l.82957.t.7","Fighting Forsbergs","453.p.7124","Chychrun","Jakob","142.2","12.4","$1.5","100%"
"138","12","453.l.82957.t.9","Bardowny Woodpeckers","453.p.4683","Duchene","Matt","158.8","13.7","$4.0","90%"
"139","12","453.l.82957.t.1","Bad Hab-Its","453.p.6819","Montembeault","Sam","160.5","13.8","$0.0","28%"
"140","12","453.l.82957.t.5","Micah's Majestic Team","453.p.4064","Letang","Kris","120.4","10.6","$5.0","100%"
"141","12","453.l.82957.t.2","San Jose Barra-Cuties","453.p.5703","Matheson","Mike","124.6","10.9","$1.5","100%"
"142","12","453.l.82957.t.8","Los Luchadores del Hielo","453.p.6760","Chabot","Thomas","165.2","14.3","$1.0","81%"
"143","12","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","453.p.8489","Wolf","Dustin","167.5","14.4","$0.0","24%"
"144","12","453.l.82957.t.6","Cameron with the good fur","453.p.4969","Granlund","Mikael","170.9","14.7","$0.0","7%"
"145","13","453.l.82957.t.6","Cameron with the good fur","453.p.5765","Lindell","Esa","","","",""
"146","13","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","453.p.7535","Thomas","Robert","113.8","10.0","$5.5","100%"
"147","13","453.l.82957.t.8","Los Luchadores del Hielo","453.p.6384","Tuch","Alex","116.5","10.2","$5.0","100%"
"148","13","453.l.82957.t.2","San Jose Barra-Cuties","453.p.4990","Nelson","Brock","149.3","12.9","$1.5","89%"
"149","13","453.l.82957.t.5","Micah's Majestic Team","453.p.3788","Kopitar","Anze","156.0","13.5","$1.5","64%"
"150","13","453.l.82957.t.1","Bad Hab-Its","453.p.8877","Power","Owen","171.6","14.7","$0.0","32%"
"151","13","453.l.82957.t.9","Bardowny Woodpeckers","453.p.5810","Slavin","Jaccob","171.0","14.8","$1.0","31%"
"152","13","453.l.82957.t.7","Fighting Forsbergs","453.p.5368","Scheifele","Mark","127.6","11.1","$6.0","100%"
"153","13","453.l.82957.t.4","Bad habits","453.p.8290","Boldy","Matt","86.9","7.7","$5.5","100%"
"154","13","453.l.82957.t.12","Woonsocket Woozles","453.p.7516","Hischier","Nico","112.3","9.9","$7.0","100%"
"155","13","453.l.82957.t.11","Jim Posac Fan Club","453.p.7143","Kyrou","Jordan","118.9","10.4","$3.5","100%"
"156","13","453.l.82957.t.3","Hockey???","453.p.6383","Sanheim","Travis","169.4","14.6","$1.0","56%"
"157","14","453.l.82957.t.3","Hockey???","453.p.8282","Byram","Bowen","168.1","14.5","$1.0","71%"
"158","14","453.l.82957.t.11","Jim Posac Fan Club","453.p.5984","Lindholm","Elias","135.5","11.8","$1.5","97%"
"159","14","453.l.82957.t.12","Woonsocket Woozles","453.p.4684","Kane","Evander","167.0","14.3","$0.0","35%"
"160","14","453.l.82957.t.4","Bad habits","453.p.5769","Gostisbehere","Shayne","148.8","12.9","$2.0","95%"
"161","14","453.l.82957.t.7","Fighting Forsbergs","453.p.4786","O'Reilly","Ryan","162.6","14.0","$1.0","51%"
"162","14","453.l.82957.t.9","Bardowny Woodpeckers","453.p.4519","Benn","Jamie","159.0","13.7","$2.0","86%"
"163","14","453.l.82957.t.1","Bad Hab-Its","453.p.5986","Nurse","Darnell","154.8","13.4","$1.5","91%"
"164","14","453.l.82957.t.5","Micah's Majestic Team","453.p.4967","Skinner","Jeff","136.2","11.8","$7.0","99%"
"165","14","453.l.82957.t.2","San Jose Barra-Cuties","453.p.5152","Stone","Mark","157.5","13.6","$1.0","70%"
"166","14","453.l.82957.t.8","Los Luchadores del Hielo","453.p.6707","Vatrano","Frank","130.5","11.3","$2.5","99%"
"167","14","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","453.p.6367","Ekblad","Aaron","126.1","11.0","$2.0","98%"
"168","14","453.l.82957.t.6","Cameron with the good fur","453.p.5946","Haula","Erik","186.0","15.8","$0.0","2%"
"169","15","453.l.82957.t.6","Cameron with the good fur","453.p.7531","Valimaki","Juuso","","","",""
"170","15","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","453.p.5279","Nyquist","Gustav","167.5","14.5","$1.0","30%"
"171","15","453.l.82957.t.8","Los Luchadores del Hielo","453.p.32764","Levshunov","Artyom","171.0","14.7","$0.0","9%"
"172","15","453.l.82957.t.2","San Jose Barra-Cuties","453.p.7066","Marchment","Mason","167.1","14.6","$1.0","12%"
"173","15","453.l.82957.t.5","Micah's Majestic Team","453.p.6035","Lehkonen","Artturi","162.9","14.0","$1.0","65%"
"174","15","453.l.82957.t.1","Bad Hab-Its","453.p.32763","Celebrini","Macklin","157.1","13.6","$5.0","57%"
"175","15","453.l.82957.t.9","Bardowny Woodpeckers","453.p.6941","Daccord","Joey","145.1","12.6","$1.5","95%"
"176","15","453.l.82957.t.7","Fighting Forsbergs","453.p.5254","Orlov","Dmitry","176.4","15.1","$0.0","10%"
"177","15","453.l.82957.t.4","Bad habits","453.p.6756","DeBrusk","Jake","140.6","12.2","$1.0","97%"
"178","15","453.l.82957.t.12","Woonsocket Woozles","453.p.4002","Giroux","Claude","159.4","13.8","$1.0","77%"
"179","15","453.l.82957.t.11","Jim Posac Fan Club","453.p.5777","Parayko","Colton","173.4","14.9","$0.0","23%"
"180","15","453.l.82957.t.3","Hockey???","453.p.7751","Walker","Sean","172.7","14.8","$0.0","13%"
"181","16","453.l.82957.t.3","Hockey???","453.p.7636","Batherson","Drake","116.1","10.2","$2.0","100%"
"182","16","453.l.82957.t.11","Jim Posac Fan Club","453.p.7527","Necas","Martin","123.9","10.8","$3.0","100%"
"183","16","453.l.82957.t.12","Woonsocket Woozles","453.p.8155","Thompson","Logan","151.4","13.1","$1.0","89%"
"184","16","453.l.82957.t.4","Bad habits","453.p.8878","Beniers","Matty","170.3","14.7","$0.0","5%"
"185","16","453.l.82957.t.7","Fighting Forsbergs","453.p.5053","Rust","Bryan","140.0","12.2","$1.5","96%"
"186","16","453.l.82957.t.9","Bardowny Woodpeckers","453.p.5686","Lindholm","Hampus","171.7","14.8","$0.0","24%"
"187","16","453.l.82957.t.1","Bad Hab-Its","453.p.30832","Cooley","Logan","161.4","13.9","$0.0","32%"
"188","16","453.l.82957.t.5","Micah's Majestic Team","453.p.4003","Varlamov","Semyon","161.9","14.0","$6.0","83%"
"189","16","453.l.82957.t.2","San Jose Barra-Cuties","453.p.7084","Lindgren","Charlie","161.2","13.9","$1.0","74%"
"190","16","453.l.82957.t.8","Los Luchadores del Hielo","453.p.7950","Durzi","Sean","171.2","14.8","$1.0","38%"
"191","16","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","453.p.4854","Talbot","Cam","156.5","13.5","$1.0","85%"
"192","16","453.l.82957.t.6","Cameron with the good fur","453.p.6869","Mikkola","Niko","","","",""
